"X" "Y"
675619.3145 4611952.469
675619.8945 4611952.269
675617.1845 4611944.559
675615.684 4611940.139
675614.314 4611936.399
675613.974 4611936.529
675611.564 4611933.939
675610.334 4611931.009
675608.0135 4611925.2695
675598.883 4611910.7695
675597.623 4611911.5795
675597.443 4611911.6895
675593.563 4611914.4195
675590.0035 4611916.85
675593.1835 4611921.9095
675596.9035 4611929.0495
675598.094 4611931.7695
675599.084 4611934.1595
675599.714 4611936.0795
675607.1345 4611956.6995
675610.8745 4611955.4495
675617.2845 4611953.189
675619.3145 4611952.469
