"X" "Y"
676796.002 4611430.6445
676797.194 4611431.9625
676800.024 4611435.0925
676801.4945 4611436.7225
676803.7045 4611439.1725
676804.9745 4611440.4025
676810.6645 4611446.512
676815.555 4611451.682
676818.1145 4611449.292
676821.6545 4611445.972
676822.7045 4611444.882
676821.7045 4611443.972
676816.0745 4611437.882
676810.884 4611432.262
676808.854 4611430.032
676806.634 4611427.592
676805.771 4611426.6445
676805.714 4611426.582
676801.574 4611422.1025
676797.1435 4611417.3425
676795.1035 4611419.2125
676794.5335 4611418.5825
676792.9435 4611420.0325
676791.484 4611421.3725
676792.0625 4611422.0005
676789.944 4611423.9425
676795.064 4611429.6125
676795.774 4611430.3925
676796.002 4611430.6445
676815.8245 4611446.372
676810.6245 4611440.692
676812.3045 4611439.152
676817.5045 4611444.832
676815.8245 4611446.372
