"X" "Y"
675704.9395 4612671.574
675704.5065 4612671.8695
675706.9765 4612675.2595
675707.056 4612675.3695
675712.337 4612682.6695
675714.037 4612685.0195
675717.057 4612689.1695
675718.4445 4612686.3885
675719.477 4612684.3195
675718.257 4612682.5795
675719.457 4612681.7295
675719.6085 4612681.6215
675722.847 4612679.309
675723.049 4612679.1315
675724.7565 4612677.629
675723.9765 4612676.399
675727.0665 4612674.569
675726.736 4612674.0095
675727.6365 4612673.469
675724.0365 4612667.419
675723.1975 4612668.0185
675720.4165 4612663.309
675717.946 4612662.709
675713.915 4612665.457
675713.3565 4612664.6295
675704.3765 4612670.7595
675704.9395 4612671.574
