"X" "Y"
674632.957 4613186.525
674633.1475 4613186.5935
674633.9365 4613186.877
674645.0375 4613190.863
674645.8475 4613191.153
674647.4575 4613186.823
674647.6035 4613186.4315
674648.3775 4613184.353
674650.0575 4613179.843
674649.1875 4613179.513
674639.907 4613175.9835
674638.088 4613175.291
674637.437 4613175.0435
674637.1355 4613174.9275
674636.607 4613174.7235
674631.467 4613172.7735
674630.667 4613174.9135
674627.1175 4613184.4235
674630.4575 4613185.6235
674632.2875 4613186.2835
674632.957 4613186.525
