"X" "Y"
676647.035 4612814.743
676647.885 4612815.183
676648.975 4612812.963
676648.125 4612812.523
676651.4245 4612805.763
676652.2845 4612806.183
676656.015 4612808.0125
676656.975 4612808.4925
676658.145 4612809.0625
676654.735 4612816.033
676653.575 4612815.443
676652.555 4612817.583
676653.6955 4612818.162
676653.815 4612818.223
676658.185 4612820.4625
676664.365 4612807.4025
676665.9445 4612804.0825
676666.0045 4612803.7625
676663.0725 4612802.347
676663.3345 4612801.8125
676660.1845 4612800.2825
676659.9145 4612800.8225
676659.7845 4612801.0625
676656.6645 4612799.532
676657.0445 4612798.7425
676653.7745 4612797.1425
676653.3935 4612797.9355
676650.2345 4612796.393
676648.5745 4612799.833
676648.4755 4612800.0235
676648.4445 4612800.083
676642.4775 4612812.414
676642.415 4612812.543
676642.0615 4612813.2715
676646.615 4612815.613
676647.035 4612814.743
