"X" "Y"
674347.587 4612874.1205
674348.527 4612877.8305
674344.1025 4612878.942
674344.337 4612879.881
674346.017 4612886.751
674346.147 4612887.281
674357.997 4612885.0305
674357.857 4612884.461
674360.697 4612883.9505
674361.137 4612883.871
674368.877 4612882.47
674370.177 4612882.22
674376.517 4612881
674378.67 4612880.581
674378.797 4612881.08
674385.707 4612879.7695
674385.537 4612879.2495
674383.0825 4612871.901
674379.707 4612872.75
674378.887 4612869.46
674382.006 4612868.68
674380.8665 4612865.2695
674378.9365 4612859.4995
674378.408 4612857.429
674352.0665 4612864.0505
674341.133 4612866.802
674342.767 4612873.461
674343.1945 4612875.2215
674347.587 4612874.1205
674360.837 4612871.2005
674361.577 4612874.1405
674356.207 4612875.4905
674355.467 4612872.5505
674360.837 4612871.2005
674373.147 4612871.3
674369.437 4612872.24
674368.6765 4612869.21
674372.0965 4612868.34
674372.3865 4612868.27
674373.147 4612871.3
