"X" "Y"
676920.2945 4611433.669
676920.4545 4611433.719
676930.7445 4611436.94
676930.835 4611436.9685
676932.825 4611437.5885
676934.375 4611438.0685
676939.765 4611439.7185
676946.035 4611441.648
676956.395 4611444.838
676957.2165 4611442.3085
676958.255 4611442.638
676960.025 4611437.198
676958.984 4611436.8675
676960.696 4611431.598
676961.735 4611431.9275
676963.5145 4611426.4475
676962.4755 4611426.118
676963.314 4611423.5375
676963.4145 4611423.2275
676964.2025 4611420.777
676965.2445 4611421.1175
676967.0545 4611415.5675
676965.9865 4611415.228
676966.7845 4611412.7475
676966.9645 4611412.1875
676967.884 4611409.3575
676966.8205 4611409.0175
676967.744 4611406.1675
676966.676 4611405.8175
676967.614 4611402.9175
676967.014 4611402.7175
676966.5285 4611402.5575
676966.4285 4611400.3475
676966.394 4611399.5875
676958.6545 4611398.785
676958.584 4611398.7775
676954.484 4611398.3565
676954.204 4611398.3275
676951.2635 4611398.0315
676950.934 4611397.998
676947.1935 4611397.618
676946.0235 4611397.498
676943.6135 4611397.248
676932.4935 4611396.1085
676931.7335 4611396.0285
676926.054 4611411.4785
676922.0645 4611419.439
676916.2745 4611429.569
676913.9245 4611431.679
676920.2945 4611433.669
