"X" "Y"
676848.5285 4611966.5465
676853.7505 4611969.7335
676855.1405 4611970.5835
676855.27 4611970.6645
676863.661 4611975.903
676863.73 4611975.9445
676865.3805 4611973.283
676871.5205 4611963.343
676874.0305 4611959.293
676874.9705 4611957.773
676877.8405 4611957.9025
676879.9545 4611957.9925
676879.9605 4611957.8325
676880.2425 4611948.1025
676880.25 4611947.8525
676880.4655 4611940.1625
676880.47 4611940.0025
676880.745 4611930.1225
676878.3595 4611930.0525
676875.7795 4611929.9525
676875.2495 4611928.9725
676872.5095 4611923.9425
676865.9895 4611927.473
676865.2595 4611926.113
676863.5195 4611927.053
676863.3595 4611926.753
676861.3695 4611927.833
676861.5295 4611928.123
676860.6995 4611928.583
676861.4395 4611929.943
676861.2695 4611930.033
676858.9895 4611931.273
676858.2495 4611929.913
676857.1495 4611930.513
676856.9795 4611930.203
676855.2195 4611931.163
676855.3795 4611931.463
676853.3395 4611932.5635
676854.0795 4611933.9335
676852.5995 4611934.7335
676852.1695 4611933.9435
676851.7595 4611934.1635
676851.6395 4611933.9335
676850.6695 4611934.4635
676850.7895 4611934.6935
676849.9395 4611935.1535
676849.8195 4611934.9335
676848.1195 4611935.8535
676848.2395 4611936.0735
676847.3195 4611936.5635
676848.1995 4611938.1535
676851.02 4611943.3535
676848.8 4611946.9835
676841.61 4611958.7535
676840.031 4611961.333
676847.5305 4611965.9335
676848.4905 4611966.5235
676848.5285 4611966.5465
676856.28 4611953.8735
676862.63 4611943.473
676861.53 4611941.443
676863.0295 4611940.633
676861.8695 4611938.513
676865.9195 4611936.323
676867.0795 4611938.443
676868.5795 4611937.623
676869.8 4611939.863
676870.19 4611939.873
676870.84 4611939.893
676870.62 4611947.833
676869.25 4611947.803
676863.0205 4611957.983
676861.7 4611957.183
676859.8805 4611960.143
676856 4611957.7635
676857.8 4611954.8135
676856.28 4611953.8735
