"X" "Y"
676221.382 4611912.6875
676220.666 4611913.8615
676225.416 4611916.7615
676226.126 4611915.5915
676228.818 4611917.2385
676229.6065 4611917.7205
676228.896 4611918.8815
676231.5965 4611920.531
676232.3065 4611919.371
676232.3365 4611919.391
676233.3465 4611920.091
676234.9265 4611921.181
676236.0065 4611920.991
676237.1165 4611919.391
676237.8965 4611918.261
676238.7665 4611918.951
676242.696 4611914.001
676241.8215 4611913.3075
676243.263 4611911.4885
676243.736 4611910.891
676244.616 4611911.591
676251.766 4611902.5805
676250.8765 4611901.8725
676250.886 4611901.8605
676251.563 4611901.008
676252.736 4611899.5305
676253.626 4611900.2405
676257.4055 4611895.4705
676256.5155 4611894.7705
676253.4655 4611892.3705
676250.7255 4611890.2005
676249.8855 4611889.5305
676245.9645 4611886.4215
676245.9255 4611886.3905
676242.936 4611884.02
676241.045 4611882.521
676240.935 4611882.431
676239.895 4611881.621
676239.8445 4611881.5815
676235.125 4611877.871
676233.775 4611879.331
676226.2655 4611891.751
676224.7455 4611894.2515
676220.5755 4611901.0815
676220.3855 4611901.3915
676219.9075 4611902.173
676216.066 4611908.4515
676215.936 4611908.6615
676215.636 4611909.1715
676216.9645 4611909.9845
676221.356 4611912.6715
676221.382 4611912.6875
