"X" "Y"
676800.4635 4613082.2795
676801.5735 4613084.4695
676802.635 4613086.609
676802.804 4613086.9495
676807.604 4613096.6195
676810.414 4613094.8395
676812.554 4613093.4895
676811.214 4613090.5795
676815.024 4613088.9195
676812.754 4613084.2795
676811.904 4613084.7195
676810.7535 4613082.4495
676809.8135 4613080.5895
676811.4235 4613079.9695
676811.6245 4613079.8925
676813.5935 4613079.1395
676812.8835 4613076.0495
676812.8435 4613075.8395
676810.9635 4613076.175
676810.8835 4613076.1895
676808.973 4613076.5375
676808.8035 4613075.5795
676804.3735 4613076.3895
676804.544 4613077.3435
676802.5335 4613077.7095
676801.2435 4613077.5895
676799.7535 4613080.8795
676800.4635 4613082.2795
