"X" "Y"
676646.429 4614296.759
676647.529 4614297.119
676647.259 4614298.249
676649.739 4614299.299
676650.439 4614296.829
676649.799 4614296.509
676651.749 4614290.699
676651.849 4614290.399
676652.839 4614290.699
676653.819 4614290.979
676651.919 4614297.329
676651.399 4614297.099
676650.749 4614299.729
676654.889 4614301.499
676655.479 4614299.669
676656.359 4614296.929
676658.359 4614290.699
676660.9385 4614282.6585
676649.0985 4614284.429
676648.489 4614286.549
676647.299 4614290.699
676646.539 4614293.329
676646.529 4614293.369
676645.909 4614295.529
676645.629 4614296.489
676646.429 4614296.759
