"X" "Y"
677082.078 4611624.7055
677082.1215 4611624.915
677083.4815 4611631.405
677084.593 4611636.7145
677084.6015 4611636.755
677085.462 4611640.875
677085.812 4611642.585
677088.782 4611642.485
677094.392 4611642.215
677101.742 4611641.2245
677100.2115 4611633.6345
677100.1925 4611633.5445
677100.0415 4611632.8345
677097.781 4611621.6145
677097.749 4611621.455
677097.081 4611618.1145
677096.572 4611618.2185
677094.2605 4611618.6915
677093.1615 4611618.9165
677093.001 4611618.135
677085.311 4611619.715
677085.471 4611620.495
677084.37 4611620.721
677082.3915 4611621.1275
677081.381 4611621.335
677082.078 4611624.7055
