"X" "Y"
677920.3275 4613076.625
677921.0705 4613082.8945
677920.118 4613083.005
677920.698 4613087.905
677921.6505 4613087.7945
677922.258 4613092.925
677922.8195 4613097.785
677922.0185 4613097.875
677922.6185 4613102.905
677923.4005 4613102.815
677924.1095 4613108.955
677924.1385 4613109.205
677924.4985 4613110.865
677925.3885 4613111.665
677926.7185 4613111.545
677927.4085 4613111.4645
677927.519 4613112.415
677930.329 4613112.085
677930.219 4613111.1375
677932.598 4613110.8605
677932.709 4613111.815
677935.539 4613111.485
677935.428 4613110.531
677938.3985 4613110.185
677937.8285 4613105.375
677937.4885 4613102.495
677937.3385 4613101.245
677937.3255 4613101.1355
677937.218 4613100.225
677936.7385 4613096.175
677936.158 4613091.285
677935.558 4613086.275
677935.074 4613082.1955
677934.948 4613081.135
677934.9315 4613080.9945
677934.818 4613080.045
677934.468 4613077.155
677933.9075 4613072.425
677930.7675 4613072.7835
677930.6175 4613071.475
677927.7675 4613071.805
677927.918 4613073.109
677925.828 4613073.3475
677925.6775 4613072.045
677922.7575 4613072.375
677922.908 4613073.6805
677922.2575 4613073.755
677920.9575 4613073.885
677920.0675 4613075.205
677920.3275 4613076.625
