"X" "Y"
678311.3815 4611445.578
678312.5515 4611446.508
678312.6815 4611446.348
678315.9815 4611448.978
678312.4015 4611453.478
678341.1125 4611476.337
678348.3625 4611467.227
678352.4725 4611470.497
678341.383 4611484.427
678346.463 4611488.687
678348.633 4611486.067
678352.523 4611489.287
678368.6825 4611469.7065
678364.9425 4611466.7165
678366.0125 4611465.3665
678360.222 4611460.7565
678357.482 4611464.1965
678353.372 4611460.9265
678356.362 4611457.1665
678327.661 4611434.3075
678323.1815 4611439.9375
678319.8615 4611437.2875
678314.961 4611433.3975
678316.591 4611431.3475
678308.651 4611425.008
678281.232 4611459.329
678283.742 4611461.339
678277.502 4611469.149
678283.132 4611473.689
678280.8225 4611476.549
678281.8325 4611477.359
678280.7425 4611478.719
678284.7925 4611481.979
678310.2315 4611450.198
678308.6815 4611448.958
678311.3815 4611445.578
