"X" "Y"
676930.948 4613328.69
676930.9715 4613328.717
676932.523 4613330.926
676932.5515 4613330.967
676933.1015 4613331.757
676934.1015 4613332.8265
676934.155 4613332.883
676935.2815 4613334.0765
676938.072 4613337.9165
676940.292 4613336.2565
676941.512 4613335.3565
676945.7815 4613331.6565
676947.0815 4613333.5565
676952.0715 4613329.736
676952.9415 4613328.996
676956.5815 4613325.746
676957.1215 4613326.256
676959.7415 4613328.756
676961.8615 4613330.776
676963.822 4613333.246
676963.862 4613333.296
676969.572 4613340.4855
676976.183 4613336.5775
676976.322 4613336.4955
676979.502 4613334.6255
676979.922 4613331.4855
676973.3115 4613324.6955
676973.1485 4613324.5285
676966.2655 4613317.4615
676966.2015 4613317.3955
676953.961 4613304.646
676950.931 4613304.286
676939.541 4613312.7265
676939.331 4613312.8865
676931.3515 4613318.817
676925.7315 4613322.767
676930.948 4613328.69
