"X" "Y"
676723.0325 4613465.116
676722.435 4613465.7835
676726.135 4613469.1235
676731.415 4613469.5535
676734.695 4613467.533
676734.2215 4613466.7635
676740.953 4613462.6225
676740.9845 4613462.603
676742.783 4613461.5005
676743.7745 4613460.893
676741.8945 4613458.113
676739.0845 4613453.813
676739.2545 4613453.513
676735.2445 4613447.083
676735.4845 4613446.953
676733.134 4613443.343
676731.234 4613444.863
676730.934 4613444.693
676729.724 4613445.6835
676728.8455 4613446.3955
676728.774 4613446.4535
676726.5275 4613448.357
676726.4845 4613448.3935
676722.7745 4613452.1135
676724.4445 4613453.9035
676717.8045 4613460.4135
676719.405 4613461.853
676721.0055 4613463.2925
676723.0325 4613465.116
