"X" "Y"
675976.122 4612489.551
675976.9525 4612498.441
675977.3025 4612502.121
675977.5525 4612504.751
675977.5825 4612505.091
675977.903 4612508.471
675981.593 4612508.141
675983.063 4612508.011
675987.313 4612507.641
675988.463 4612507.5305
675992.083 4612507.2205
675991.8025 4612503.8205
675991.5725 4612500.8605
675991.3225 4612497.7705
675990.572 4612488.3605
675989.862 4612488.4205
675988.592 4612488.5205
675987.692 4612488.5905
675987.332 4612484.3805
675975.742 4612485.531
675976.122 4612489.551
