"X" "Y"
673840.737 4613287.8285
673840.477 4613288.688
673843.567 4613289.638
673843.824 4613288.778
673846.1155 4613289.482
673845.857 4613290.3375
673851.8275 4613292.1775
673852.084 4613291.317
673856.0365 4613292.5305
673855.7775 4613293.3875
673858.6875 4613294.2875
673858.9455 4613293.4235
673860.7175 4613293.9675
673861.6775 4613290.777
673862.78 4613287.075
673862.827 4613286.917
673863.767 4613283.807
673863.9135 4613283.319
673865.907 4613276.667
673866.547 4613274.537
673866.677 4613274.087
673866.827 4613273.717
673847.8165 4613267.8075
673844.9865 4613266.9275
673841.9355 4613277.2175
673841.007 4613280.348
673838.947 4613287.278
673840.737 4613287.8285
