"X" "Y"
676167.1005 4613399.0995
676167.8905 4613402.0395
676169.0405 4613406.2595
676169.4505 4613407.7995
676171.3705 4613408.4995
676172.3605 4613408.8495
676178.1205 4613405.189
676185.6105 4613400.429
676189.0405 4613398.239
676189.8305 4613397.7385
676200.95 4613390.6685
676196.66 4613384.1385
676195.3 4613382.0785
676194.1 4613380.2385
676193.79 4613380.4485
676189.31 4613383.5085
676190.42 4613385.3085
676188.96 4613386.3385
676186.88 4613387.819
676183.7 4613390.069
676182.54 4613390.889
676181.5 4613391.629
676180.7 4613390.499
676179.93 4613391.049
676178.2 4613392.299
676176.84 4613393.279
676175.04 4613394.579
676173.77 4613392.799
676168.53 4613396.3595
676167.1305 4613397.3095
676166.6905 4613397.5995
676167.1005 4613399.0995
