"X" "Y"
676058.464 4613530.523
676058.1635 4613526.893
676065.0435 4613526.733
676064.3635 4613515.333
676064.123 4613511.403
676059.953 4613511.613
676051.133 4613512.063
676046.833 4613512.2735
676047.4735 4613516.1535
676047.5435 4613517.2835
676048.0535 4613525.6935
676046.9435 4613525.7735
676047.0135 4613527.3735
676047.0835 4613528.8635
676047.1835 4613531.1735
676044.4135 4613531.3035
676042.4235 4613531.3935
676043.784 4613540.7135
676043.874 4613541.3535
676044.154 4613544.7335
676044.294 4613546.5235
676044.444 4613548.3635
676049.3345 4613548.8735
676054.534 4613547.4135
676057.604 4613546.553
676060.154 4613546.233
676059.824 4613543.813
676060.324 4613543.783
676060.084 4613542.063
676059.894 4613540.713
676059.824 4613540.203
676059.274 4613540.193
676058.944 4613536.223
676058.464 4613530.523
