"X" "Y"
676581.8075 4614254.721
676582.1275 4614255.001
676585.6775 4614258.121
676595.7975 4614258.7205
676600.618 4614259.0105
676600.7085 4614259.0155
676604.408 4614259.2305
676604.448 4614259.233
676608.968 4614259.5
676608.9925 4614258.94
676609.2275 4614253.54
676609.6175 4614244.61
676609.6245 4614244.447
676609.6465 4614243.94
676610.5175 4614243.99
676611.157 4614228.92
676610.299 4614228.87
676610.347 4614227.85
676610.397 4614226.77
676606.957 4614224.26
676606.327 4614224.91
676605.445 4614225.818
676603.437 4614225.7
676603.3365 4614227.9895
676601.9075 4614229.4605
676599.887 4614229.3405
676599.784 4614231.6475
676598.385 4614233.0885
676596.417 4614232.9705
676596.3305 4614235.204
676596.227 4614235.3105
676594.7885 4614236.792
676592.927 4614236.6805
676592.838 4614238.8015
676591.4145 4614240.268
676589.367 4614240.1405
676589.2665 4614242.48
676587.9865 4614243.7995
676585.897 4614243.6705
676585.7895 4614246.063
676584.5185 4614247.372
676584.509 4614247.3825
676582.4275 4614247.251
676582.3265 4614249.63
676582.2675 4614249.691
676581.408 4614250.5715
676579.7385 4614252.282
676579.4075 4614252.621
676581.8075 4614254.721
