"X" "Y"
675823.6005 4611787.5525
675827.0705 4611790.7125
675828.6105 4611792.1025
675830.7605 4611794.052
675833.6405 4611790.932
675833.8405 4611790.712
675835.6005 4611788.742
675840.7905 4611783.072
675840.3845 4611782.697
675840.1475 4611782.4775
675839.527 4611781.904
675838.5315 4611780.984
675837.2205 4611779.772
675834.83 4611777.872
675834.63 4611777.612
675831.93 4611774.262
675829.09 4611777.372
675827.99 4611778.582
675827.27 4611779.3725
675824.3405 4611782.5825
675821.5305 4611785.6725
675823.6005 4611787.5525
