"X" "Y"
676666.9 4613341.475
676667.0905 4613341.8645
676668.121 4613341.3545
676669.041 4613343.2445
676668.0105 4613343.745
676668.1715 4613344.0745
676669.201 4613343.5745
676670.251 4613345.7245
676669.223 4613346.2235
676669.3665 4613346.517
676672.4285 4613352.776
676673.451 4613352.2645
676674.371 4613354.1445
676673.342 4613354.644
676673.6475 4613355.2665
676674.6815 4613354.7645
676675.5715 4613356.5845
676674.5415 4613357.0945
676674.7715 4613357.5645
676681.9315 4613364.9345
676693.402 4613376.744
676699.172 4613382.594
676702.522 4613383.074
676709.382 4613378.9835
676716.502 4613374.7935
676718.382 4613373.7835
676723.542 4613370.703
676723.272 4613370.273
676723.682 4613370.033
676719.5115 4613362.833
676726.4315 4613358.413
676735.162 4613372.563
676732.222 4613374.373
676741.1325 4613388.0725
676745.0925 4613384.7725
676748.3225 4613382.0925
676756.612 4613375.082
676761.942 4613370.782
676760.422 4613368.132
676758.672 4613368.452
676757.192 4613366.292
676755.622 4613364.552
676753.292 4613361.4225
676758.0115 4613358.222
676755.685 4613352.7705
676754.5415 4613350.092
676752.1415 4613345.202
676750.98 4613342.733
676750.721 4613342.1825
676750.231 4613341.1325
676747.451 4613335.1925
676745.091 4613329.3025
676750.851 4613326.732
676773.1205 4613316.8115
676772.577 4613315.548
676732.9695 4613333.192
676731.451 4613329.953
676730.981 4613329.783
676729.921 4613329.533
676727.1205 4613322.013
676724.4905 4613314.353
676725.32 4613311.983
676727.7 4613310.403
676730.43 4613309.2025
676730.34 4613307.6925
676732.41 4613306.9625
676735.92 4613307.0025
676736.75 4613306.0725
676740.51 4613307.0425
676742.21 4613306.2325
676743.33 4613301.0025
676745.83 4613301.332
676748.91 4613301.742
676749.72 4613300.382
676752.42 4613301.752
676755.22 4613298.262
676756.46 4613296.302
676757.1 4613296.782
676757.21 4613296.712
676760.5 4613294.772
676762.18 4613293.7915
676760.2595 4613290.692
676758.3995 4613287.692
676754.7495 4613281.802
676754.0495 4613281.062
676753.3395 4613280.552
676752.6595 4613280.152
676751.5995 4613279.782
676750.4895 4613279.582
676749.3495 4613279.542
676748.6495 4613279.612
676747.9895 4613279.832
676739.9595 4613283.8025
676726.0795 4613290.693
676676.61 4613315.2245
676672.17 4613317.3945
676668.81 4613319.0445
676668.9735 4613319.373
676669.88 4613318.9145
676670.78 4613320.7245
676669.8695 4613321.175
676670.0685 4613321.5755
676671.421 4613324.2945
676672.3305 4613323.8445
676673.2005 4613325.5845
676672.287 4613326.036
676672.5935 4613326.653
676673.5005 4613326.1945
676674.3405 4613327.8745
676673.426 4613328.3265
676673.633 4613328.743
676675.007 4613331.506
676675.9205 4613331.0445
676676.7405 4613332.7045
676675.8305 4613333.1545
676675.9405 4613333.3745
676672.1605 4613335.2545
676666.5095 4613338.063
676665.4805 4613338.5745
676666.9 4613341.475
