"X" "Y"
676329.4815 4613450.9855
676330.0125 4613451.695
676330.1625 4613451.895
676332.7225 4613455.315
676332.8425 4613455.225
676334.123 4613457.065
676333.723 4613457.325
676335.753 4613460.005
676338.523 4613458.2745
676339.103 4613459.0745
676340.163 4613460.5645
676340.033 4613460.6345
676342.923 4613464.6645
676342.9325 4613464.7045
676342.973 4613464.8745
676346.563 4613469.3945
676351.113 4613465.7145
676352.0095 4613464.9905
676357.973 4613460.174
676355.393 4613456.824
676354.753 4613456.004
676352.5925 4613453.204
676355.8025 4613451.204
676356.043 4613451.0545
676360.1825 4613448.484
676363.9525 4613446.144
676355.142 4613433.444
676354.372 4613432.104
676351.952 4613431.634
676350.542 4613432.544
676348.463 4613433.9015
676347.722 4613432.7645
676329.2925 4613444.765
676330.034 4613445.897
676327.1025 4613447.805
676328.6425 4613449.865
676329.4815 4613450.9855
