"X" "Y"
675516.677 4612716.5555
675522.507 4612719.455
675525.707 4612721.055
675527.107 4612718.245
675528.087 4612716.275
675529.017 4612714.415
675529.477 4612713.495
675531.787 4612708.865
675532.257 4612707.925
675533.2565 4612705.925
675533.9865 4612704.445
675535.6065 4612701.195
675535.8365 4612700.755
675541.5765 4612689.2345
675529.096 4612682.875
675523.1465 4612694.995
675522.2265 4612696.865
675519.8265 4612701.735
675519.3565 4612702.685
675518.4365 4612704.5655
675517.0365 4612707.4155
675516.5865 4612708.3255
675514.867 4612711.8255
675514.747 4612712.0755
675513.357 4612714.9055
675516.677 4612716.5555
