"X" "Y"
675971.202 4610913.2555
675971.965 4610916.594
675975.9255 4610915.368
675981.205 4610913.7335
675984.025 4610912.8635
675985.505 4610912.4035
675987.207 4610911.8645
675987.305 4610911.8335
675993.595 4610909.883
675994.205 4610909.693
675998.665 4610908.313
676001.675 4610907.383
676000.5805 4610903.838
675999.9385 4610904.0515
675997.8445 4610900.033
675987.8745 4610903.2535
675984.695 4610904.2905
675983.2745 4610904.7535
675981.6845 4610905.2635
675977.6945 4610906.5435
675973.6705 4610907.732
675970.175 4610908.764
675971.202 4610913.2555
