"X" "Y"
677448.262 4612272.087
677448.962 4612272.567
677454.0225 4612276.0965
677454.3925 4612276.3565
677456.9325 4612278.1265
677458.9725 4612275.2365
677461.472 4612271.6965
677463.382 4612268.9965
677464.442 4612267.4965
677464.952 4612266.7565
677469.062 4612260.956
677472.162 4612256.556
677460.1615 4612248.5765
677458.4415 4612251.0365
677457.8915 4612250.6365
677456.7115 4612252.3265
677454.9215 4612254.9065
677452.152 4612258.8465
677449.872 4612262.0965
677446.672 4612266.647
677444.642 4612269.557
677448.262 4612272.087
