"X" "Y"
674629.598 4613538.055
674631.118 4613538.045
674632.958 4613538.035
674637.978 4613538.005
674639.628 4613537.995
674641.098 4613537.985
674646.488 4613537.9545
674648.888 4613537.9345
674648.947 4613512.0545
674648.977 4613507.6345
674646.797 4613507.6645
674646.337 4613507.6745
674640.987 4613507.735
674637.927 4613507.765
674637.687 4613507.775
674636.577 4613507.785
674632.977 4613507.825
674629.377 4613507.875
674624.867 4613507.925
674619.147 4613507.9855
674619.1475 4613518.3755
674619.1475 4613528.1055
674619.148 4613535.8755
674619.148 4613538.1255
674629.598 4613538.055
