"X" "Y"
673881.819 4613088.2445
673882.2315 4613088.3755
673883.671 4613083.9355
673883.2585 4613083.8045
673885.5615 4613076.7055
673885.981 4613076.8355
673887.461 4613072.2855
673887.0405 4613072.1455
673888.214 4613068.5265
673888.6305 4613068.6655
673890.7005 4613062.3255
673890.271 4613062.1855
673891.4905 4613058.4255
673889.9905 4613055.3755
673889.1105 4613055.075
673885.998 4613054.0125
673884.46 4613053.4875
673884.61 4613053.0355
673880.64 4613051.6755
673880.479 4613052.1285
673879.4105 4613051.764
673876.301 4613050.7025
673875.49 4613050.4255
673874.88 4613050.7465
673874.64 4613050.296
673872.9 4613051.206
673873.1495 4613051.6555
673872.52 4613051.986
673871.2145 4613056.007
673870.7705 4613055.866
673868.7105 4613062.206
673869.1545 4613062.3475
673867.9235 4613066.137
673867.4905 4613065.986
673866.1405 4613070.146
673866.5755 4613070.2875
673864.156 4613077.7375
673863.721 4613077.606
673862.331 4613081.8965
673862.76 4613082.036
673861.561 4613085.7265
673869.381 4613088.256
673869.432 4613088.2735
673871.021 4613083.396
673873.871 4613084.316
673872.2715 4613089.196
673873.5515 4613089.606
673880.6315 4613091.906
673881.819 4613088.2445
673877.601 4613072.846
673874.941 4613081.036
673872.091 4613080.116
673874.761 4613071.926
673877.601 4613072.846
673881.1805 4613061.8455
673878.6605 4613069.5755
673875.8305 4613068.666
673878.3505 4613060.9355
673881.1805 4613061.8455
