"X" "Y"
674917.315 4614400.5205
674924.415 4614397.4205
674925.035 4614397.1505
674923.6545 4614394.0905
674923.0355 4614394.3605
674921.8945 4614391.8305
674922.5145 4614391.5605
674921.1645 4614388.5505
674920.537 4614388.8195
674918.9645 4614385.3305
674919.2345 4614384.7505
674915.8045 4614383.1305
674915.5345 4614383.7105
674913.275 4614384.6415
674912.9645 4614383.9505
674910.4545 4614384.9905
674910.763 4614385.6765
674907.923 4614386.8475
674907.2345 4614387.131
674909.9245 4614393.801
674907.1245 4614395.341
674908.475 4614398.351
674910.755 4614403.391
674914.955 4614401.5505
674917.315 4614400.5205
