"X" "Y"
676548.1315 4612705.6755
676548.4215 4612706.0355
676548.8915 4612706.6155
676554.9415 4612714.095
676555.1115 4612714.305
676558.4115 4612718.405
676559.0635 4612719.2035
676559.2115 4612719.385
676562.122 4612722.995
676564.272 4612725.655
676564.684 4612725.3075
676565.452 4612726.185
676568.752 4612723.385
676576.1715 4612717.1145
676579.4415 4612714.3445
676578.7125 4612713.4855
676579.0115 4612713.2345
676576.8315 4612710.6345
676574.3615 4612708.1245
676573.7725 4612707.454
676573.7115 4612707.3845
676570.5615 4612703.785
676569.3415 4612702.385
676562.511 4612694.575
676562.1705 4612694.1855
676555.0605 4612686.045
676552.371 4612688.605
676547.931 4612692.5155
676541.831 4612697.8655
676548.1315 4612705.6755
