"X" "Y"
675922.337 4613651.6575
675925.0295 4613659.5065
675925.047 4613659.5575
675927.9775 4613668.1075
675928.0155 4613668.218
675929.1355 4613671.488
675930.3175 4613674.9375
675952.2975 4613669.8665
675955.8075 4613669.0565
675954.7275 4613665.6265
675954.424 4613664.6675
675954.2465 4613664.107
675953.3855 4613661.387
675953.297 4613661.1065
675951.467 4613655.3465
675950.6095 4613652.626
675950.547 4613652.427
675950.387 4613651.917
675950.047 4613650.857
675948.0865 4613644.677
675947.0965 4613641.537
675946.0965 4613638.377
675946.036 4613638.187
675945.1065 4613635.257
675944.6165 4613633.697
675944.5345 4613633.4375
675942.466 4613626.897
675940.526 4613620.787
675940.1165 4613620.8995
675939.6865 4613621.018
675939.346 4613619.767
675936.816 4613620.467
675935.716 4613620.767
675933.316 4613621.427
675933.3055 4613622.775
675930.0265 4613623.678
675929.086 4613623.9375
675930.286 4613627.797
675933.6465 4613638.607
675933.7055 4613638.797
675936.5065 4613647.797
675931.9765 4613649.0175
675924.207 4613651.1075
675923.9165 4613650.2975
675921.9065 4613644.8075
675919.2565 4613645.6175
675915.9365 4613646.6475
675917.817 4613652.6475
675922.337 4613651.6575
