"X" "Y"
674705.599 4613007.524
674707.22 4613007.941
674708.02 4613005.77
674707.48 4613005.56
674708.54 4613002.7
674709.76 4613003.14
674714.47 4612990
674713.32 4612989.58
674714.37 4612986.65
674716.043 4612985.7985
674715.118 4612984.071
674714.24 4612983.75
674713.34 4612983.43
674712.76 4612982.1
674711.48 4612982.67
674709.73 4612982.03
674710.07 4612981.12
674705.21 4612979.34
674704.74 4612980.63
674703.89 4612980.31
674702.86 4612983.07
674703.38 4612984.2
674700.94 4612990.78
674699.94 4612993.51
674697.72 4612999.5
674697.02 4612999.24
674696.31 4613001.14
674695.151 4613004.287
674699.672 4613005.791
674699.5925 4613006.031
674701.8825 4613006.6005
674705.3125 4613007.4505
674705.599 4613007.524
