"X" "Y"
678258.461 4613149.5755
678258.611 4613150.5455
678260.911 4613150.3055
678261.1415 4613152.2555
678258.8415 4613152.5155
678258.9515 4613153.5355
678256.6715 4613153.7555
678257.4915 4613160.7955
678274.6215 4613158.855
678273.9015 4613152.455
678270.0115 4613152.875
678269.361 4613147.645
678270.021 4613147.575
678273.321 4613147.225
678272.611 4613140.955
678268.281 4613141.445
678267.451 4613141.535
678260.011 4613142.3855
678259.561 4613142.4355
678255.431 4613142.9155
678256.221 4613149.8455
678258.461 4613149.5755
