"X" "Y"
673662.081 4612442.1395
673669.801 4612442.2895
673669.831 4612442.6595
673672.721 4612442.659
673672.801 4612442.309
673696.581 4612442.8085
673696.611 4612438.6485
673696.881 4612438.5885
673696.921 4612435.8785
673696.661 4612435.8685
673696.641 4612435.6285
673689.471 4612435.5485
673689.521 4612435.1285
673686.621 4612435.1185
673686.601 4612435.4885
673683.061 4612435.439
673683.041 4612435.029
673680.311 4612435.009
673680.311 4612435.409
673678.751 4612435.369
673678.801 4612434.969
673674.951 4612434.949
673674.921 4612435.269
673667.691 4612435.2195
673667.661 4612434.8195
673664.681 4612434.7795
673664.721 4612435.1295
673662.251 4612435.1295
673662.081 4612439.6695
673661.831 4612439.6095
673661.821 4612439.3995
673659.151 4612439.3395
673659.141 4612439.5895
673655.211 4612439.4995
673655.231 4612439.1995
673652.511 4612439.17
673652.521 4612439.47
673645.581 4612439.35
673645.591 4612439.64
673645.211 4612439.62
673645.161 4612442.42
673645.591 4612442.4
673645.551 4612446.57
673662.091 4612446.9495
673662.081 4612442.1395
