"X" "Y"
676894.9875 4612898.868
676895.3085 4612899.016
676905.969 4612903.926
676906.062 4612903.7675
676907.789 4612903.006
676907.5605 4612901.207
676909.1665 4612898.4645
676910.718 4612895.815
676912.3985 4612895.1255
676912.258 4612893.185
676912.4685 4612892.8255
676905.8085 4612889.416
676903.2485 4612888.096
676903.169 4612888.0555
676900.078 4612886.476
676893.898 4612883.306
676893.766 4612883.237
676892.3075 4612884.2345
676891.032 4612885.088
676890.234 4612885.6225
676889.338 4612886.6465
676882.5985 4612891.5665
676884.4185 4612893.9965
676891.5585 4612897.286
676892.0785 4612897.526
676894.9875 4612898.868
