"X" "Y"
673959.4385 4612309.68
673960.5785 4612314.26
673964.3485 4612313.32
673964.5885 4612313.26
673965.3285 4612313.07
673965.5385 4612313.02
673969.0085 4612312.1495
673970.2185 4612311.8495
673970.3185 4612311.8295
673971.3985 4612311.5595
673976.7085 4612310.2295
673978.8185 4612309.6995
673979.9885 4612309.4095
673979.278 4612306.5095
673977.778 4612300.3295
673977.598 4612299.5595
673975.458 4612290.7695
673975.2775 4612290.0195
673972.2275 4612290.7695
673955.728 4612294.78
673958.618 4612306.37
673959.4385 4612309.68
