"X" "Y"
677161.723 4611666.423
677164.073 4611665.833
677170.383 4611664.2825
677172.193 4611663.7325
677173.393 4611663.5625
677172.4525 4611659.6925
677172.1025 4611658.2425
677171.1125 4611654.1025
677170.0625 4611649.7325
677154.5125 4611653.413
677155.3625 4611657.003
677157.833 4611667.343
677161.723 4611666.423
677168.4425 4611654.6925
677169.5125 4611659.5525
677169.6725 4611660.2625
677169.913 4611661.6125
677161.033 4611663.643
677158.163 4611664.303
677157.6825 4611662.263
677168.0125 4611659.9225
677166.9625 4611655.0225
677168.4425 4611654.6925
