"X" "Y"
676367.6305 4611702.7665
676369.5905 4611704.5565
676372.4805 4611707.206
676374.5805 4611709.136
676377.1305 4611711.486
676380.231 4611714.336
676382.661 4611716.536
676384.381 4611714.356
676386.6505 4611711.506
676388.1905 4611709.566
676391.5205 4611705.3755
676393.1005 4611703.3855
676391.5205 4611701.6055
676390.8305 4611700.8355
676385.71 4611695.166
676381.11 4611690.026
676379.3 4611687.996
676371.0395 4611678.766
676367.6795 4611681.506
676360.58 4611687.2365
676358.18 4611689.1965
676355.92 4611692.0365
676367.6305 4611702.7665
