"X" "Y"
675473.893 4611585.6815
675478.673 4611588.5815
675478.403 4611589.0115
675480.713 4611590.3715
675480.963 4611589.9715
675484.013 4611591.8215
675483.353 4611592.9015
675479.4935 4611599.2415
675477.6035 4611602.3115
675488.5835 4611608.9915
675490.7935 4611605.3215
675491.6235 4611605.8115
675493.8235 4611602.201
675492.9335 4611601.661
675494.2435 4611599.431
675495.0635 4611598.031
675497.9835 4611599.861
675497.7035 4611600.311
675500.0235 4611601.731
675500.2635 4611601.291
675501.8435 4611602.281
675501.7635 4611602.521
675504.8935 4611604.371
675504.4635 4611605.071
675507.5135 4611606.841
675509.8935 4611602.9005
675509.4735 4611602.621
675513.0635 4611596.5505
675513.5635 4611596.8005
675515.9035 4611592.8505
675512.963 4611591.0805
675512.463 4611591.8805
675509.343 4611589.9705
675509.213 4611590.1805
675507.553 4611589.181
675507.743 4611588.8605
675505.403 4611587.431
675505.203 4611587.761
675502.213 4611585.961
675502.893 4611584.831
675504.363 4611582.411
675505.373 4611583.041
675507.213 4611579.9905
675507.683 4611580.2705
675509.733 4611576.8605
675508.1525 4611575.9105
675497.6325 4611569.561
675495.9725 4611568.561
675493.9125 4611571.941
675494.3625 4611572.271
675492.5125 4611575.321
675493.5925 4611575.961
675492.1125 4611578.421
675491.383 4611579.651
675488.2325 4611577.7315
675488.4125 4611577.4315
675486.2725 4611576.1115
675486.0825 4611576.4215
675484.3425 4611575.3615
675484.3825 4611575.1615
675481.4325 4611573.3615
675481.9325 4611572.4915
675479.0025 4611570.7215
675476.5725 4611574.5915
675477.0025 4611574.9315
675473.3625 4611580.9115
675472.8925 4611580.7115
675470.533 4611584.592
675473.453 4611586.4215
675473.893 4611585.6815
