"X" "Y"
677643.35 4611964.86
677642.29 4611966.59
677649.92 4611970.64
677649.28 4611971.74
677654.41 4611974.75
677655.04 4611973.67
677662.94 4611979.11
677664.01 4611977.33
677671.07 4611981.52
677675.33 4611974.45
677674.04 4611973.67
677675.15 4611971.83
677676.44 4611972.6
677680.8 4611965.35
677681.95 4611963.45
677689.28 4611967.89
677694.3 4611959.54
677686.96 4611955.12
677680.63 4611951.23
677681.74 4611949.33
677687.95 4611938.8
677682.04 4611935.21
677672.55 4611929.56
677666.07 4611925.7
677664.46 4611928.4
677659.84 4611936.13
677658.69 4611938.07
677652.24 4611934.32
677647.29 4611942.51
677646.15 4611944.41
677641.78 4611951.65
677643.06 4611952.42
677641.92 4611954.31
677640.64 4611953.54
677636.35 4611960.64
677643.35 4611964.86
677662.25 4611949.82
677669.12 4611953.88
677668.15 4611955.48
677661.31 4611951.33
677662.25 4611949.82
