"X" "Y"
674206.134 4613132.656
674208.704 4613131.446
674211.794 4613129.966
674220.464 4613125.8655
674217.8935 4613122.1955
674216.3835 4613120.046
674216.0135 4613119.526
674212.9035 4613115.086
674211.6635 4613113.316
674203.0535 4613119.556
674198.8735 4613122.5765
674187.764 4613130.6265
674193.534 4613138.6365
674195.384 4613137.7565
674206.134 4613132.656
674201.244 4613125.856
674201.674 4613126.456
674202.454 4613127.536
674197.914 4613130.5265
674196.794 4613128.9665
674201.244 4613125.856
