"X" "Y"
676494.2525 4612449.6175
676494.3335 4612449.676
676502.9735 4612455.8955
676505.3425 4612457.597
676505.4235 4612457.6555
676505.6445 4612457.8145
676506.3135 4612458.2955
676509.0935 4612460.2955
676509.291 4612460.0135
676510.861 4612457.7735
676510.9435 4612457.6555
676511.1805 4612457.304
676512.0335 4612457.9155
676516.1635 4612452.0055
676515.3095 4612451.3925
676515.3635 4612451.3155
676517.294 4612448.5655
676517.6035 4612448.125
676514.2535 4612445.7555
676514.102 4612445.648
676511.363 4612443.7055
676507.843 4612441.2155
676502.843 4612437.6755
676502.703 4612437.5755
676500.953 4612436.3255
676494.473 4612431.736
676486.113 4612443.776
676489.693 4612446.346
676492.4235 4612448.306
676494.2525 4612449.6175
