"X" "Y"
674716.926 4614128.4555
674727.366 4614123.825
674725.7655 4614120.275
674725.711 4614120.1535
674722.092 4614121.7585
674720.834 4614118.955
674724.4555 4614117.355
674720.8355 4614109.285
674713.6855 4614112.4755
674710.354 4614113.962
674699.8355 4614118.656
674703.376 4614126.4855
674707.359 4614124.7705
674708.682 4614127.694
674704.716 4614129.4455
674706.396 4614133.1355
674706.4325 4614133.216
674716.957 4614128.5235
674716.926 4614128.4555
674715.269 4614124.7845
674713.9655 4614121.9255
674717.3255 4614120.5055
674718.5785 4614123.3165
674715.269 4614124.7845
