"X" "Y"
676347.0205 4613039.5925
676347.1505 4613040.0825
676347.3205 4613040.7025
676349.1505 4613047.5025
676349.2705 4613047.9625
676349.6705 4613049.4225
676350.0605 4613050.8625
676350.651 4613053.0825
676351.861 4613057.5525
676390.4405 4613044.9315
676389.2005 4613040.7015
676387.6805 4613035.4815
676386.8505 4613032.6415
676385.32 4613027.3815
676382.9 4613020.8715
676381.59 4613017.3215
676378.3995 4613009.3215
676377.9995 4613009.5515
676376.5095 4613006.8315
676368.4595 4613011.752
676369.9595 4613015.352
676345.47 4613031.1525
676344.85 4613031.5425
676347.0205 4613039.5925
