"X" "Y"
677359.4145 4613485.9
677362.5375 4613483.484
677363.8575 4613482.464
677364.8885 4613481.665
677359.3855 4613474.544
677355.9635 4613470.116
677354.057 4613467.6445
677359.446 4613463.48
677358.577 4613462.314
677355.0695 4613457.7245
677354.817 4613457.394
677352.927 4613454.9245
677349.767 4613458.1145
677347.027 4613460.8645
677340.757 4613467.1845
677344.9975 4613472.7645
677348.6575 4613477.5845
677348.8195 4613477.798
677352.5775 4613482.7545
677356.618 4613488.0645
677359.4145 4613485.9
