"X" "Y"
676541.4955 4612491.2735
676542.415 4612491.9045
676543.285 4612492.5045
676551.165 4612497.9345
676554.195 4612500.0345
676554.2475 4612500.071
676556.975 4612501.9545
676557.504 4612501.2035
676559.045 4612499.014
676559.935 4612499.644
676561.695 4612497.134
676560.809 4612496.509
676562.6325 4612493.9125
676563.525 4612494.534
676567.385 4612489.034
676566.4945 4612488.4135
676568.228 4612485.945
676569.125 4612486.574
676571.0045 4612483.884
676570.1165 4612483.255
676571.6915 4612481.012
676572.1045 4612480.424
676569.367 4612478.54
676569.3145 4612478.504
676563.7945 4612474.714
676556.604 4612469.764
676556.444 4612469.654
676555.224 4612468.814
676550.2245 4612476.0445
676541.3045 4612488.9045
676540.265 4612490.4145
676541.395 4612491.2045
676541.4955 4612491.2735
