"X" "Y"
678061.021 4612684.779
678061.5235 4612688.9285
678060.487 4612689.0395
678060.847 4612692.0195
678061.8845 4612691.9085
678062.0905 4612693.609
678062.157 4612694.1595
678080.117 4612692.199
678080.597 4612692.139
678084.807 4612691.689
678084.717 4612690.649
678084.247 4612686.099
678083.1665 4612675.909
678081.807 4612676.0515
678079.6165 4612676.281
678079.4965 4612675.189
678075.1765 4612675.639
678075.297 4612676.7335
678070.437 4612677.243
678070.3165 4612676.1495
678065.2765 4612676.6795
678065.387 4612677.772
678062.3465 4612678.0905
678061.9765 4612678.1295
678060.4565 4612680.1195
678060.5715 4612681.069
678059.5365 4612681.1795
678059.987 4612684.8895
678061.021 4612684.779
